plotIDyear,AGORET,CALGRE,CALING,CHLEMA,CYMCRI,CYMLIM,CYMNEG,CYMPLA2,DICPOL,GASHON,MYACYA,NOTAEN,OTHE,PLADEC,PTEADO,PTEADS,PTECOR1,PTELAC2,PTEMUT2,PTEPEN,PTEROS,PTESP23,PTETRI3,SCAVIC,SCAVID,SPHCAN,SPHSTE3,SYNIMP,cups,totalIndividuals,density,ShannonBeetle,SimpsonBeetle,spNum,plotID,nlcdClass,logDen,siteID
BART_002 2015,1,0,0,0,8,0,3,0,0,0,0,1,0,0,3,0,10,3,0,12,8,0,14,0,0,2,7,32,29,104,3.586206896551724,2.1553397174009996,0.8452292899408284,13,BART_002,deciduousForest,1.5230532982352798,BART
BART_002 2016,0,0,0,1,6,0,4,1,0,0,0,0,0,0,2,0,7,1,0,6,16,0,14,0,0,1,4,18,40,81,2.025,2.160695478909674,0.8571864045115074,13,BART_002,deciduousForest,1.1069110914828049,BART
BART_002 2017,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5,0,7,0,0,7,21,0,15,0,0,3,2,42,40,107,2.675,1.8031551101892411,0.7743907764870295,10,BART_002,deciduousForest,1.3015531326648,BART
BART_002 2018,0,0,0,0,13,1,9,0,0,0,0,0,0,0,0,1,4,0,0,13,15,0,18,0,0,2,1,78,29,155,5.344827586206897,1.6507418302348746,0.7055150884495318,11,BART_002,deciduousForest,1.8476399276225117,BART
BART_002 2019,0,0,0,0,2,0,8,0,0,0,0,0,0,0,6,0,5,2,0,16,18,0,14,0,0,0,0,58,29,129,4.448275862068965,1.7044133667067054,0.7432245658313803,9,BART_002,deciduousForest,1.6952992030404928,BART
BART_018 2015,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,27,0,0,21,2,0,12,0,0,1,0,19,32,89,2.78125,1.717133503787694,0.7855068804443883,9,BART_018,mixedForest,1.3300546427970146,BART
BART_018 2016,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,1,10,0,0,9,2,0,9,0,0,5,0,20,40,64,1.6,1.9594293798151954,0.82470703125,10,BART_018,mixedForest,0.9555114450274363,BART
BART_018 2017,0,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,20,0,0,20,5,0,8,0,0,4,3,57,40,123,3.075,1.669261281087362,0.7241721197699782,11,BART_018,mixedForest,1.404870746692826,BART
BART_018 2018,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,5,0,0,8,3,0,5,0,0,1,1,63,30,93,3.1,1.2520572818777607,0.523528731645277,10,BART_018,mixedForest,1.410986973710262,BART
BART_018 2019,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,36,0,0,27,9,0,15,0,0,1,0,71,30,167,5.566666666666666,1.5707881293197241,0.7344114166875829,8,BART_018,mixedForest,1.882006347075833,BART
BART_025 2015,3,3,1,0,1,0,5,0,0,0,0,0,0,0,0,2,4,1,0,24,8,0,22,0,0,12,8,25,32,119,3.71875,2.1790528957329527,0.8571428571428572,14,BART_025,evergreenForest,1.5515439340151977,BART
BART_025 2016,3,5,0,0,1,0,10,0,0,0,0,0,0,0,2,1,0,0,0,10,15,0,14,0,0,4,4,8,39,77,1.9743589743589745,2.2129682075326422,0.8723224827120931,12,BART_025,evergreenForest,1.0900285449767182,BART
BART_025 2017,1,1,4,0,3,0,20,0,0,0,0,0,0,0,1,1,0,0,0,33,13,0,28,0,0,20,7,41,40,173,4.325,2.0516791754734616,0.8462695044939691,13,BART_025,evergreenForest,1.6724127115954888,BART
BART_025 2018,1,0,1,0,1,1,38,0,0,0,0,0,0,0,0,0,2,0,0,11,3,0,6,0,0,1,8,42,30,115,3.8333333333333335,1.669667203022229,0.7393572778827977,12,BART_025,evergreenForest,1.5755363607584192,BART
