taxonID,scientificName,DP-filght,Food
ACUTES,Acupalpus testaceus,Flight,NA
AGOCON,AgoNoFlightleptus conjunctus,Flight,Predator
AGORET,Agonum retractum,ModerateFlight,Predator
ANIHAP,Anisodactylus haplomus,GoodFlight,NA
ANIMER2,Anisodactylus merula,Flight,Omnivore
APELUC2,Apenes lucidula,ModerateFlight,NA
CARGOR,Carabus goryi,NoFlight,Predator
CARSER,Carabus serratus,ModerateFlight,Omnivore
CARSYL,Carabus sylvosus,NoFlight,Predator
CICPUN,Cicindela punctulata,GoodFlight,Predator
CYCCON2,Cyclotrachelus convivus,NoFlight,Predator
CYCFRE,Cyclotrachelus freitagi,NoFlight,Predator
CYLUNI,Cylindera unipunctata,Flight,Predator
CYMCRI,Cymindis cribricollis,ModerateFlight,Omnivore
CYMNEG,Cymindis neglecta,ModerateFlight,Omnivore
CYMPLA2,Cymindis platicollis,Flight,Predator
DICAMB,Dicaelus ambiguus,NoFlight,Predator
DICDIL5,Dicaelus dilatatus,NoFlight,Predator
DICFUR1,Dicaelus furvus,NoFlight,Predator
DICPOL,Dicaelus politus,NoFlight,Predator
ELAGRA,Elaphropus granarius,Flight,Predator
LOXCRE,Loxandrus crenatus,ModerateFlight,NA
MYACYA,Myas cyanescens,NoFlight,Predator
NoFlightTAEN,NoFlighttiophilus aeneus,ModerateFlight,Predator
PASDEP,Pasimachus depressus,NoFlight,Predator
PASPUN,Pasimachus punctulatus,NoFlight,Predator
PLADEC,Platynus decentis,ModerateFlight,Predator
POLLAE,Polyderis laeva,Flight,Predator
PTEADO,Pterostichus adoxus,NoFlight,Predator
PTECOR1,Pterostichus coracinus,NoFlight,Predator
PTEMUT2,Pterostichus mutus,Flight,Predator
PTEOPH,Pterostichus ophryoderus,NoFlight,Predator
PTEPEN,Pterostichus pensylvanicus,ModerateFlight,Predator
PTEROS,Pterostichus rostratus,NoFlight,Predator
PTETRI3,Pterostichus tristis,NoFlight,Predator
SELCON2,SeleNoFlightphorus contractus,Flight,NA
SELELL,SeleNoFlightphorus ellipticus,Flight,NA
SELFAT,SeleNoFlightphorus fatuus,Flight,NA
SELOPA,SeleNoFlightphorus opalinus,Flight,Predator
SELSP2,SeleNoFlightphorus sp.,,NA
SPHCAN,Sphaeroderus canadensis,NoFlight,Predator
SPHSTE1,Sphaeroderus steNoFlightstomus,NoFlight,Predator
SPHSTE3,Sphaeroderus steNoFlightstomus,NoFlight,Predator
SYNAME,Syntomus americanus,Flight,Predator
SYNIMP,Synuchus impunctatus,Flight,Omnivore
TETCAR2,Tetracha carolina,ModerateFlight,Predator
TETVIR,Tetracha virginica,NoFlight,Predator
TETINT,TetragoNoFlightderus intersectus,Flight,NA
TRIAUT,Trichotichnus autumnalis,ModerateFlight,NA
