plotIDyear,ACUHYD,AGORET,AMPINT,ANIRUS,CALFRI,CHLEMA,CICSEX,CYMNEG,GASHON,HARRUB,OLIPAR,POELUC,SYNAME,APELUC2,CARGOR,CARSER,CYMCRI,CYMLIM,CYMPLA2,DICPOL,MYACYA,NOTAEN,PLADEC,PTEADO,PTECOR1,PTEMUT2,PTEPEN,PTEROS,PTETRI3,SPHCAN,SPHSTE3,SYNIMP,TRIAUT,cups,totalIndividuals,density,ShannonBeetle,SimpsonBeetle,spNum,CARGOR_den,SYNIMP_den,SPHSTE3_den,PTETRI3_den,PTEPEN_den,CARGOR_relabun,SYNIMP_relabun,SPHSTE3_relabun,PTETRI3_relabun,PTEPEN_relabun,plotID,nlcdClass,DF_BA,EGBA,AM_BA,ECM_BA,totalBA,PerEG_BA,PerECM_BA,Shan_BA,Sim_BA,DF_ST,EF_ST,AM_ST,ECM_ST,totalStems,PerEG_ST,PerECM_ST,Shan_ST,Sim_ST,logDen,logSYN,sqrtSYN,logcCARGOR,logCARGOR_relabun,logPTETRI3,logPTETRI3_relabun,logPTEPEN_den,logPTEPEN_relabun,logSPHSTE3_den,logSPHSTE3_relabun,siteID
HARV_001 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,10.5,3.5,0,36,27,0.75,1.6118342602422078,0.7510288065843622,7,2.7777777777777777,9.722222222222223,29.166666666666668,5.555555555555555,19.444444444444446,3.7037037037037033,12.962962962962962,38.88888888888889,7.4074074074074066,25.925925925925924,HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461094999999,25.254381517233178,92.92842283057546,0.971497672762893,0.5332003953918627,10,5,4,11,15,33.33333333333333,73.33333333333333,1.3397942802855756,0.7288888888888889,-0.2876820724517809,2.372318431008721,3.6004114991154776,1.329135947279942,1.548350220454262,1.8803128665695001,2.1291131514770734,3.0177111802727663,3.29308961152919,3.4067375620377707,3.6860978111520595,HARV
HARV_001 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,9,0,36,20,0.5555555555555556,1.3966775814761836,0.705,5,5.555555555555555,25,13.88888888888889,0,5.555555555555555,10,45,25,0,10,HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461094999999,25.254381517233178,92.92842283057546,0.971497672762893,0.5332003953918627,10,5,4,11,15,33.33333333333333,73.33333333333333,1.3397942802855756,0.7288888888888889,-0.587786664902119,3.258096538021482,6.708203932499369,1.8803128665695001,2.3978952727983707,0,0,1.8803128665695001,2.3978952727983707,2.700615222614692,3.258096538021482,HARV
HARV_001 2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,10,7,0,39,27,0.6923076923076923,1.7137758452053748,0.7681755829903978,8,5.128205128205128,17.94871794871795,25.64102564102564,5.128205128205128,2.564102564102564,7.4074074074074066,25.925925925925924,37.03703703703704,7.4074074074074066,3.7037037037037033,HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461094999999,25.254381517233178,92.92842283057546,0.971497672762893,0.5332003953918627,10,5,4,11,15,33.33333333333333,73.33333333333333,1.3397942802855756,0.7288888888888889,-0.3677247801253174,2.941736274818555,5.091750772173155,1.812901905801864,2.1291131514770734,1.812901905801864,2.1291131514770734,1.2709122870010452,1.548350220454262,3.282452344969581,3.638560343924229,HARV
HARV_001 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,3,0,44,42,0.9545454545454546,1.136674054922858,0.5941043083900227,5,54.54545454545454,6.8181818181818175,25,0,2.272727272727273,57.14285714285714,7.142857142857142,26.190476190476193,0,2.380952380952381,HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461094999999,25.254381517233178,92.92842283057546,0.971497672762893,0.5332003953918627,10,5,4,11,15,33.33333333333333,73.33333333333333,1.3397942802855756,0.7288888888888889,-0.04652001563489282,2.056452023455137,2.6726124191242437,4.017201686373225,4.062903036387282,0,0,1.1856236656577395,1.2181574393178924,3.258096538021482,3.3028667719325875,HARV
HARV_001 2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,1,0,0,1,1,0,7,19,74,0,30,147,4.9,1.3053354599715619,0.6494516173816465,9,136.66666666666666,246.66666666666669,63.33333333333333,0,3.3333333333333335,27.89115646258503,50.34013605442177,12.925170068027212,0,0.6802721088435374,HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461094999999,25.254381517233178,92.92842283057546,0.971497672762893,0.5332003953918627,10,5,4,11,15,33.33333333333333,73.33333333333333,1.3397942802855756,0.7288888888888889,1.589235205116581,5.512083756049649,7.095078297976828,4.924835304292923,3.363535543534535,0,0,1.4663370687934272,0.5189557498492409,4.164077900236776,2.6336979988825533,HARV
HARV_001 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,1,0,0,3,0,1,5,26,9,0,30,98,3.2666666666666666,1.2558447334560636,0.6249479383590171,7,176.66666666666666,30,86.66666666666667,3.3333333333333335,10,54.08163265306123,9.183673469387756,26.53061224489796,1.0204081632653061,3.061224489795918,HARV_001,deciduousForest,7306.728854999999,2468.73224,691.279275,9084.18182,9775.461094999999,25.254381517233178,92.92842283057546,0.971497672762893,0.5332003953918627,10,5,4,11,15,33.33333333333333,73.33333333333333,1.3397942802855756,0.7288888888888889,1.1837700970084166,3.4339872044851463,3.0304576336566322,5.179909135497735,4.008816314907378,1.4663370687934272,0.7032995520239632,2.3978952727983707,1.4014845266138658,4.473541743509655,3.3152985580971293,HARV
HARV_002 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.583333333333334,5,0,0,0,1,0,0,0,0,0,0,2.25,3,16.333333333333332,5.583333333333333,7.25,6,3,36,62.00000000000001,1.7222222222222223,2.1081833539394874,0.851521852237253,11,32.17592592592593,16.666666666666664,20.13888888888889,45.37037037037037,6.25,18.682795698924732,9.677419354838708,11.693548387096774,26.34408602150537,3.6290322580645156,HARV_002,deciduousForest,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755098803,93.12286310378474,1.0567778575600555,0.5364887163346916,12,1,5,8,13,7.6923076923076925,61.53846153846154,1.412744636863848,0.7218934911242604,0.5436154465889816,2.871679624884012,3.1108550841912757,3.5018244901807343,2.979744939407035,3.8366606856557146,3.3085002722688635,1.9810014688665833,1.5323478307145295,3.0511144194055757,2.5410938633723115,HARV
HARV_002 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,7,4,13,4,4,21,0,36,57,1.5833333333333333,1.7812528366566969,0.780547860880271,9,5.555555555555555,58.333333333333336,11.11111111111111,36.11111111111111,19.444444444444446,3.508771929824561,36.84210526315789,7.017543859649122,22.807017543859647,12.280701754385964,HARV_002,deciduousForest,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755098803,93.12286310378474,1.0567778575600555,0.5364887163346916,12,1,5,8,13,7.6923076923076925,61.53846153846154,1.412744636863848,0.7218934911242604,0.45953232937844013,4.083171261623976,6.069769786668839,1.8803128665695001,1.5060248170606696,3.613916415640481,3.169980392000319,3.0177111802727663,2.5863119856028987,2.4941233048929243,2.0816321230596544,HARV
HARV_002 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,9,0,40,18,0.45,1.3776083609300551,0.6851851851851851,5,0,22.5,5,7.5,5,0,50,11.11111111111111,16.666666666666664,11.11111111111111,HARV_002,deciduousForest,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755098803,93.12286310378474,1.0567778575600555,0.5364887163346916,12,1,5,8,13,7.6923076923076925,61.53846153846154,1.412744636863848,0.7218934911242604,-0.7985076962177716,3.1570004211501135,7.0710678118654755,0,0,2.1400661634962708,2.871679624884012,1.791759469228055,2.4941233048929243,1.791759469228055,2.4941233048929243,HARV
HARV_002 2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,1,0,0,0,0,1,2,9,1,10,1,0,44,34,0.7727272727272727,1.8697717698051455,0.801038062283737,10,13.636363636363635,2.272727272727273,22.727272727272727,20.454545454545457,2.272727272727273,17.647058823529413,2.941176470588235,29.411764705882355,26.47058823529412,2.941176470588235,HARV_002,deciduousForest,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755098803,93.12286310378474,1.0567778575600555,0.5364887163346916,12,1,5,8,13,7.6923076923076925,61.53846153846154,1.412744636863848,0.7218934911242604,-0.2578291093020998,1.1856236656577395,1.7149858514250884,2.6835090921860925,2.9256884298210646,3.06593653222724,3.3131159136126813,1.1856236656577395,1.37147927533475,3.166625134524323,3.414829530452213,HARV
