plotIDyear,AGOCON,AGOSTR,AMAAEN1,AMAIMP,ANIDUL,ANIFUR,ANIHAP,ANIMER2,ANIRUS,APESIN,CALOPA,CHLEMA,CICABD,CYCFAB,CYCLAE,CYCOVU,CYCSIG,CYCSP3,DICDIL5,DICELO,DICFUR1,DYSABB,GALBIC,GALJAN,HARCAL,HARCOM,HARKAT,HARPEN.HARTEX,HARSP7,HELNIG,LEBPUL,LEBVIR2,PARSP,PASSUB1,PASSUB2,SELDIS2,SELFAT,SELFOS,SELOPA,SELPAL,SELSP,SEMPUN,TETCAR2,TETFLO,TETINT,TRIDIC,SELELL,SELGRA,cups,totalIndividuals,density,ShannonBeetle,SimpsonBeetle,spNum,plotID,nlcdClass,logDen,siteID
JERC_001 2015,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,1,0,0,0,1,0,7,0,44,49,1.1136363636363635,1.4511934352593145,0.6172428154935443,10,JERC_001,deciduousForest,0.7484098592349946,JERC
JERC_001 2016,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,3,2,51,41,0.803921568627451,1.3485583234056386,0.5496728138013087,10,JERC_001,deciduousForest,0.5899629443247145,JERC
JERC_001 2017,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,0,0,1,0,6,15,48,58,1.2083333333333333,1.5047058050706448,0.7443519619500594,7,JERC_001,deciduousForest,0.7922380832041761,JERC
JERC_001 2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,39,13,0.3333333333333333,1.1569876443452742,0.6272189349112427,4,JERC_001,deciduousForest,0.28768207245178085,JERC
JERC_001 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,3,1,39,13,0.3333333333333333,1.6715952780212544,0.7928994082840236,6,JERC_001,deciduousForest,0.28768207245178085,JERC
JERC_002 2015,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2,0.045454545454545456,0,0,1,JERC_002,evergreenForest,0.044451762570833796,JERC
JERC_002 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0,JERC_002,evergreenForest,0,JERC
JERC_002 2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0.020833333333333332,0,0,1,JERC_002,evergreenForest,0.02061928720273561,JERC
JERC_002 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,4,0.10256410256410256,0.5623351446188083,0.375,2,JERC_002,evergreenForest,0.09763846956391607,JERC
JERC_002 2019,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0.20512820512820512,0.7356219397587946,0.40625,3,JERC_002,evergreenForest,0.1865859555804121,JERC
