plotIDeventID,plotID,sampleID,nlcdClass,individualID,collectDate,subsampleID,taxonID.y,individualCount
HARV_006 HARV.2014.19,HARV_006,HARV_006.E.20140520,deciduousForest,NEON.BET.D01.000508,2014-05-20T00:00:00Z,nqQHSOkEpR0Th/chs7FBQetxbbIHyQRdhAX8Z7LyTpQ=,CARSER,1
HARV_004 HARV.2014.19,HARV_004,HARV_004.E.20140520,mixedForest,NEON.BET.D01.001038,2014-05-20T00:00:00Z,tDzbpJ00aa+ALEi0OuDBPPVAtAWhmoGe+A6wZ1+qOzA=,PTEPEN,1
HARV_005 HARV.2014.19,HARV_005,HARV_005.E.20140520,deciduousForest,NEON.BET.D01.000657,2014-05-20T00:00:00Z,VYbX3k7w1waMBrsz1bzC9Hjndw+ic2xStqkFX+VnmsQ=,CARGOR,3
HARV_005 HARV.2014.19,HARV_005,HARV_005.E.20140520,deciduousForest,NEON.BET.D01.000657,2014-05-20T00:00:00Z,VYbX3k7w1waMBrsz1bzC9Hjndw+ic2xStqkFX+VnmsQ=,CARGOR,3
HARV_005 HARV.2014.19,HARV_005,HARV_005.E.20140520,deciduousForest,NEON.BET.D01.000657,2014-05-20T00:00:00Z,VYbX3k7w1waMBrsz1bzC9Hjndw+ic2xStqkFX+VnmsQ=,CARGOR,3
HARV_014 HARV.2014.19,HARV_014,HARV_014.E.20140520,mixedForest,NEON.BET.D01.000518,2014-05-20T00:00:00Z,fgSm0hTlsCDDXWn/GXeRluFl0/6H/kI+PMBwIUkZbTQ=,SPHSTE3,1
HARV_010 HARV.2014.19,HARV_010,HARV_010.E.20140520,mixedForest,NEON.BET.D01.000659,2014-05-20T00:00:00Z,IKTBBoKzvadbvNBVYy8rQFuxoXCYSg6GcMDSS6lOUJ8=,CARGOR,4
HARV_010 HARV.2014.19,HARV_010,HARV_010.E.20140520,mixedForest,NEON.BET.D01.000659,2014-05-20T00:00:00Z,IKTBBoKzvadbvNBVYy8rQFuxoXCYSg6GcMDSS6lOUJ8=,CARGOR,4
HARV_010 HARV.2014.19,HARV_010,HARV_010.E.20140520,mixedForest,NEON.BET.D01.000659,2014-05-20T00:00:00Z,IKTBBoKzvadbvNBVYy8rQFuxoXCYSg6GcMDSS6lOUJ8=,CARGOR,4
HARV_010 HARV.2014.19,HARV_010,HARV_010.E.20140520,mixedForest,NEON.BET.D01.000659,2014-05-20T00:00:00Z,IKTBBoKzvadbvNBVYy8rQFuxoXCYSg6GcMDSS6lOUJ8=,CARGOR,4
HARV_001 HARV.2014.19,HARV_001,HARV_001.E.20140520,deciduousForest,NEON.BET.D01.000662,2014-05-20T00:00:00Z,Lp8M7PrSWwBGmUtwWh0x63eujAg+uFbiLCccOwL5SuA=,CARGOR,2
HARV_001 HARV.2014.19,HARV_001,HARV_001.E.20140520,deciduousForest,NEON.BET.D01.000662,2014-05-20T00:00:00Z,Lp8M7PrSWwBGmUtwWh0x63eujAg+uFbiLCccOwL5SuA=,CARGOR,2
HARV_022 HARV.2014.19,HARV_022,HARV_022.E.20140520,evergreenForest,NEON.BET.D01.000473,2014-05-20T00:00:00Z,vt05/1/XT7MkAM23kP6mBdMrAkACnU91irHjCNsLS2U=,SPHCAN,1
HARV_002 HARV.2014.19,HARV_002,HARV_002.E.20140520,deciduousForest,NEON.BET.D01.000651,2014-05-20T00:00:00Z,aC3QojVI9eyZbWG6CZ365MEHNRtXaFJ/AC1yvUApiXE=,CARGOR,2
HARV_002 HARV.2014.19,HARV_002,HARV_002.E.20140520,deciduousForest,NEON.BET.D01.000651,2014-05-20T00:00:00Z,aC3QojVI9eyZbWG6CZ365MEHNRtXaFJ/AC1yvUApiXE=,CARGOR,2
