plotID,nlcdClass,collectDate,plotIDeventID,sampleID,subsampleID,taxonID.y,individualCount
TALL_006,evergreenForest,2016-04-13T00:00:00Z,TALL_006 TALL.2016.13,TALL_006.S.20160413,GF+klScYxlPNx0WJ2f3s2clJQxJ3Qg3FZOt8sQUQ9nI=,CYCCON2,1
TALL_007,deciduousForest,2016-04-13T00:00:00Z,TALL_007 TALL.2016.13,TALL_007.E.20160413,dCnpKCfrHjPeO1VlQWp4bo/O4MgyD3wyd/ttJt9hprk=,CYCCON2,1
TALL_009,evergreenForest,2016-04-13T00:00:00Z,TALL_009 TALL.2016.13,TALL_009.N.20160413,l/M16YIQdhmWRV/1jUEiEdI13GovTZxLVTniTyXe5ss=,CYCCON2,1
TALL_003,mixedForest,2016-04-13T00:00:00Z,TALL_003 TALL.2016.13,TALL_003.N.20160413,M7Kgwa5WKWo0N3SxzX0vKuK9xiA/ls/aho8s1rTDnA4=,DICDIL5,1
TALL_003,mixedForest,2016-04-13T00:00:00Z,TALL_003 TALL.2016.13,TALL_003.N.20160413,M7Kgwa5WKWo0N3SxzX0vKoqbP0okg9UFm4RK2Bmg+Xw=,CYCCON2,1
TALL_008,deciduousForest,2016-04-13T00:00:00Z,TALL_008 TALL.2016.13,TALL_008.S.20160413,ohyOCuNZZNFiKLS92V/8sDDP3L+q8YvoPXseglpEyKU=,CYCCON2,2
TALL_008,deciduousForest,2016-04-13T00:00:00Z,TALL_008 TALL.2016.13,TALL_008.S.20160413,ohyOCuNZZNFiKLS92V/8sDDP3L+q8YvoPXseglpEyKU=,CYCCON2,2
TALL_003,mixedForest,2016-04-13T00:00:00Z,TALL_003 TALL.2016.13,TALL_003.W.20160413,M7Kgwa5WKWoZ18wOqb1JV96wy/Y4Y8go96PeQ0e6Xh8=,STEPLE,1
TALL_005,mixedForest,2016-04-27T00:00:00Z,TALL_005 TALL.2016.15,TALL_005.E.20160427,t0MQRG9cttk68iWEsWlyMkXjI5tc47qoAA950pQS2k8=,CYCCON2,1
TALL_005,mixedForest,2016-04-27T00:00:00Z,TALL_005 TALL.2016.15,TALL_005.E.20160427,t0MQRG9cttk68iWEsWlyMhD6dkqtsPZFv31eaOzmTus=,DICDIL5,1
TALL_007,deciduousForest,2016-04-27T00:00:00Z,TALL_007 TALL.2016.15,TALL_007.E.20160427,dCnpKCfrHjPeO1VlQWp4blQKuoZ7SLZ85lFxYzXioDU=,DICAMB,1
TALL_003,mixedForest,2016-04-27T00:00:00Z,TALL_003 TALL.2016.15,TALL_003.N.20160427,M7Kgwa5WKWo0N3SxzX0vKlt0llr6vP8nK9MKhuAwHBw=,DICELO,1
TALL_003,mixedForest,2016-04-27T00:00:00Z,TALL_003 TALL.2016.15,TALL_003.N.20160427,M7Kgwa5WKWo0N3SxzX0vKtDh++1y8hLfQD8TgKu5B7k=,CYCCON2,2
TALL_003,mixedForest,2016-04-27T00:00:00Z,TALL_003 TALL.2016.15,TALL_003.N.20160427,M7Kgwa5WKWo0N3SxzX0vKtDh++1y8hLfQD8TgKu5B7k=,CYCCON2,2
TALL_003,mixedForest,2016-04-27T00:00:00Z,TALL_003 TALL.2016.15,TALL_003.N.20160427,M7Kgwa5WKWo0N3SxzX0vKrtFH44qVArUvS7Zl21mkpw=,DICDIL5,1
TALL_006,evergreenForest,2016-04-27T00:00:00Z,TALL_006 TALL.2016.15,TALL_006.S.20160427,GF+klScYxlPNx0WJ2f3s2bx9cTN3QYeFnXhuGeHxe0M=,DICDIL5,1
TALL_009,evergreenForest,2016-04-27T00:00:00Z,TALL_009 TALL.2016.15,TALL_009.S.20160427,l/M16YIQdhnzjZygve9MOYTbZ6mSJ89YgJOnTgCAoOs=,DICDIL5,1
TALL_008,deciduousForest,2016-04-27T00:00:00Z,TALL_008 TALL.2016.15,TALL_008.W.20160427,ohyOCuNZZNEBJPO5IxHGOX8SWTsDcBJaeaYrgBXJS04=,DICAMB,1
TALL_009,evergreenForest,2016-04-27T00:00:00Z,TALL_009 TALL.2016.15,TALL_009.W.20160427,l/M16YIQdhkBf7hWagGz8J9sj1fhRSfm8YWsoNdwGqs=,CYCCON2,1
TALL_007,deciduousForest,2016-04-27T00:00:00Z,TALL_007 TALL.2016.15,TALL_007.W.20160427,dCnpKCfrHjPIn/neU11S96UquzFOZ0/1gZBZJBUsVcc=,CYCCON2,1
TALL_009,evergreenForest,2016-05-11T00:00:00Z,TALL_009 TALL.2016.17,TALL_009.E.20160511,l/M16YIQdhl0vu9XaqA/R8hOJL7GwTnZwprT8gayH/o=,CYCCON2,1
TALL_009,evergreenForest,2016-05-11T00:00:00Z,TALL_009 TALL.2016.17,TALL_009.E.20160511,l/M16YIQdhl0vu9XaqA/R5NLv7lA1yOe6VbSlm70wxo=,PASDEP,1
TALL_009,evergreenForest,2016-05-11T00:00:00Z,TALL_009 TALL.2016.17,TALL_009.N.20160511,l/M16YIQdhmWRV/1jUEiEQjXc5a/OF70QpkbNY45nks=,SELELL,1
TALL_009,evergreenForest,2016-05-11T00:00:00Z,TALL_009 TALL.2016.17,TALL_009.N.20160511,l/M16YIQdhmWRV/1jUEiESGGVmd9MEg91Stv31VN1YU=,PASDEP,1
TALL_009,evergreenForest,2016-05-11T00:00:00Z,TALL_009 TALL.2016.17,TALL_009.N.20160511,l/M16YIQdhmWRV/1jUEiEfBBBw/u4dcJ00Tm0Ze5wHc=,DICDIL5,1
TALL_003,mixedForest,2016-05-11T00:00:00Z,TALL_003 TALL.2016.17,TALL_003.W.20160511,M7Kgwa5WKWoZ18wOqb1JVyVpfVKwTmR5GrVL4WOkNbo=,ANIMER2,1
TALL_013,evergreenForest,2016-05-11T00:00:00Z,TALL_013 TALL.2016.17,TALL_013.W.20160511,636VT4a85rDbiN/8AK7e7cBvndtbV7enFRI2D/pJECI=,CYCFRE,1
TALL_004,evergreenForest,2016-05-25T00:00:00Z,TALL_004 TALL.2016.19,TALL_004.E.20160525,Qa/aVRg+qTOwA0dy6QqQNz0jb8iMRQD7E8vuFA1Ssow=,PTESP23,1
TALL_007,deciduousForest,2016-05-25T00:00:00Z,TALL_007 TALL.2016.19,TALL_007.E.20160525,dCnpKCfrHjPeO1VlQWp4bs8y5xi4jOxOXIjiLuMm0vY=,DICPOL,3
TALL_007,deciduousForest,2016-05-25T00:00:00Z,TALL_007 TALL.2016.19,TALL_007.E.20160525,dCnpKCfrHjPeO1VlQWp4bs8y5xi4jOxOXIjiLuMm0vY=,DICPOL,3
TALL_007,deciduousForest,2016-05-25T00:00:00Z,TALL_007 TALL.2016.19,TALL_007.E.20160525,dCnpKCfrHjPeO1VlQWp4bs8y5xi4jOxOXIjiLuMm0vY=,DICPOL,3
TALL_013,evergreenForest,2016-05-25T00:00:00Z,TALL_013 TALL.2016.19,TALL_013.N.20160525,636VT4a85rBPznAdA3/lM6u/enDpnGiEEvr5SIfjhBc=,SELGRA,1
TALL_003,mixedForest,2016-05-25T00:00:00Z,TALL_003 TALL.2016.19,TALL_003.N.20160525,M7Kgwa5WKWo0N3SxzX0vKoI+5UW2pnqRxtKzTRwvYx8=,CARSYL,1
TALL_001,deciduousForest,2016-05-25T00:00:00Z,TALL_001 TALL.2016.19,TALL_001.N.20160525,oBD9lvhf20lLPR5RQgvAD0D6DbILR2IfZve3g5gUcio=,DICDIL5,1
TALL_001,deciduousForest,2016-05-25T00:00:00Z,TALL_001 TALL.2016.19,TALL_001.N.20160525,oBD9lvhf20lLPR5RQgvAD0cDW36Z3spXuA9pnwLGpWs=,PASDEP,1
