plotIDyear,AGOCON,ANIRUS,APESIN,CARSYL,CHLEMA,CLIBAL,CYCCON2,CYCFRE,CYLUNI,DICAMB,DICDIL5,DICELO,DICFUR1,DICPOL,ELAGRA,HARPEN,HELNIG,LOXCRE,NOTNOV,POLLAE,PTEOPH,PTESP23,SCAUNI1,SELELL,SELGRA,SELOPA,SELSP2,SPHSTE1,TETINT,ANIHAP,ANIMER2,PASDEP,PASPUN,cups,totalIndividuals,density,ShannonBeetle,SimpsonBeetle,spNum,CYCCON2_den,DICDIL5_den,CYCFRE_den,ANIHAP_den,PASDEP_den,CYCCON2_relabun,DICDIL5_relabun,CYCFRE_relabun,ANIHAP_relabun,PASDEP_relabun,plotID,nlcdClass,DF_BA,EGBA,AM_BA,ECM_BA,totalBA,PerEG_BA,PerECM_BA,Shan_BA,Sim_BA,DF_ST,EF_ST,AM_ST,ECM_ST,totalStems,PerEG_ST,PerECM_ST,Shan_ST,Sim_ST,sqrtDen,logCYCCON2,sqrtCYCCON2,logDICDIL5,logDICDIL5_relabun,logCYCFRE,logCYCFRE_relabun,logANIHAP,logANIHAP_relabun,logPASDEP,logPASDEP_relabun,siteID
TALL_001 2016,0,0,0,0,0,0,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,48,14,0.2916666666666667,1.569152946203119,0.7551020408163265,6,8.333333333333332,4.166666666666666,0,0,10.416666666666668,28.57142857142857,14.285714285714285,0,0,35.714285714285715,TALL_001,deciduousForest,12881.736554999996,5751.658794999999,8659.21061,8865.92279,18633.395349999995,30.867475771129392,47.58082262232472,1.8796882104478339,0.8214354969677933,17,2,8,6,19,10.526315789473683,31.57894736842105,2.062332394380924,0.8582230623818525,0.5400617248673217,2.2335922215070942,5.3452248382484875,1.642227735257091,2.7269186854065928,0,0,0,0,2.4350742760401247,3.6031659358399066,TALL
TALL_001 2017,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,13,0.25,0.7937300551584247,0.3905325443786981,4,19.230769230769234,0,0,0,0,76.92307692307693,0,0,0,0,TALL_001,deciduousForest,12881.736554999996,5751.658794999999,8659.21061,8865.92279,18633.395349999995,30.867475771129392,47.58082262232472,1.8796882104478339,0.8214354969677933,17,2,8,6,19,10.526315789473683,31.57894736842105,2.062332394380924,0.8582230623818525,0.5,3.007204674716228,8.770580193070293,0,0,0,0,0,0,0,0,TALL
TALL_001 2018,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,0.23076923076923078,0.8486855577264172,0.49382716049382713,3,15.384615384615385,5.128205128205128,0,0,0,66.66666666666666,22.22222222222222,0,0,0,TALL_001,deciduousForest,12881.736554999996,5751.658794999999,8659.21061,8865.92279,18633.395349999995,30.867475771129392,47.58082262232472,1.8796882104478339,0.8214354969677933,17,2,8,6,19,10.526315789473683,31.57894736842105,2.062332394380924,0.8582230623818525,0.4803844614152614,2.7963428082478887,8.164965809277259,1.812901905801864,3.1451096746285914,0,0,0,0,0,0,TALL
TALL_001 2019,0,0,0,0,0,0,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,14,0.3333333333333333,0.8953326659680909,0.4591836734693878,4,23.809523809523807,4.761904761904762,0,0,0,71.42857142857143,14.285714285714285,0,0,0,TALL_001,deciduousForest,12881.736554999996,5751.658794999999,8659.21061,8865.92279,18633.395349999995,30.867475771129392,47.58082262232472,1.8796882104478339,0.8214354969677933,17,2,8,6,19,10.526315789473683,31.57894736842105,2.062332394380924,0.8582230623818525,0.5773502691896257,3.211227604029944,8.451542547285166,1.751268107873318,2.7269186854065928,0,0,0,0,0,0,TALL
TALL_002 2016,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0.08333333333333333,1.3862943611198906,0.75,4,2.083333333333333,2.083333333333333,0,0,0,25,25,0,0,0,TALL_002,mixedForest,4546.45829,6856.943699999999,3503.8641399999997,7639.812274999998,11403.40199,60.13068473787969,66.9959042196319,1.3555295843941373,0.594848324618898,17,22,9,28,39,56.41025641025641,71.7948717948718,1.6086953602226934,0.6574621959237344,0.28867513459481287,1.126011262856224,5,1.126011262856224,3.258096538021482,0,0,0,0,0,0,TALL
TALL_002 2017,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,6,0.11538461538461539,1.5607104090414063,0.7777777777777777,5,0,3.8461538461538463,0,0,0,0,33.33333333333333,0,0,0,TALL_002,mixedForest,4546.45829,6856.943699999999,3503.8641399999997,7639.812274999998,11403.40199,60.13068473787969,66.9959042196319,1.3555295843941373,0.594848324618898,17,22,9,28,39,56.41025641025641,71.7948717948718,1.6086953602226934,0.6574621959237344,0.3396831102433787,0,0,1.578185368929996,3.536116699561526,0,0,0,0,0,0,TALL
TALL_002 2018,0,0,0,0,0,2,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,39,14,0.358974358974359,1.5367224694372195,0.7346938775510204,6,15.384615384615385,2.564102564102564,0,0,0,42.857142857142854,7.142857142857142,0,0,0,TALL_002,mixedForest,4546.45829,6856.943699999999,3503.8641399999997,7639.812274999998,11403.40199,60.13068473787969,66.9959042196319,1.3555295843941373,0.594848324618898,17,22,9,28,39,56.41025641025641,71.7948717948718,1.6086953602226934,0.6574621959237344,0.5991446895152781,2.7963428082478887,6.546536707079771,1.2709122870010452,2.097141118779237,0,0,0,0,0,0,TALL
TALL_002 2019,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,19,0.4523809523809524,0.40945861869508926,0.19390581717451527,3,40.476190476190474,0,0,0,0,89.47368421052632,0,0,0,0,TALL_002,mixedForest,4546.45829,6856.943699999999,3503.8641399999997,7639.812274999998,11403.40199,60.13068473787969,66.9959042196319,1.3555295843941373,0.594848324618898,17,22,9,28,39,56.41025641025641,71.7948717948718,1.6086953602226934,0.6574621959237344,0.6725927091345493,3.72511953912908,9.459053029269173,0,0,0,0,0,0,0,0,TALL
TALL_004 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,1,0.020833333333333332,0,0,1,0,0,0,0,0,0,0,0,0,0,TALL_004,evergreenForest,0,7658.76639,0,7658.76639,7658.76639,100,100,0.692200814225457,0.499053932239616,0,10,0,10,10,100,100,0.6730116670092565,0.48,0.14433756729740643,0,0,0,0,0,0,0,0,0,0,TALL
TALL_004 2017,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,4,0.08,1.0397207708399179,0.625,3,0,4,0,0,0,0,50,0,0,0,TALL_004,evergreenForest,0,7658.76639,0,7658.76639,7658.76639,100,100,0.692200814225457,0.499053932239616,0,10,0,10,10,100,100,0.6730116670092565,0.48,0.282842712474619,0,0,1.6094379124341003,3.9318256327243257,0,0,0,0,0,0,TALL
TALL_004 2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,2,0.05128205128205128,0.6931471805599453,0.5,2,0,2.564102564102564,0,2.564102564102564,0,0,50,0,50,0,TALL_004,evergreenForest,0,7658.76639,0,7658.76639,7658.76639,100,100,0.692200814225457,0.499053932239616,0,10,0,10,10,100,100,0.6730116670092565,0.48,0.22645540682891915,0,0,1.2709122870010452,3.9318256327243257,0,0,1.2709122870010452,3.9318256327243257,0,0,TALL
TALL_004 2019,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,42,10,0.23809523809523808,0.639031859650177,0.33999999999999986,3,19.047619047619047,0,0,0,2.380952380952381,80,0,0,0,10,TALL_004,evergreenForest,0,7658.76639,0,7658.76639,7658.76639,100,100,0.692200814225457,0.499053932239616,0,10,0,10,10,100,100,0.6730116670092565,0.48,0.4879500364742666,2.9981103959589586,8.94427190999916,0,0,0,0,0,0,1.2181574393178924,2.3978952727983707,TALL
TALL_006 2016,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0.08695652173913043,1.3862943611198906,0.75,4,2.1739130434782608,2.1739130434782608,0,0,0,25,25,0,0,0,TALL_006,evergreenForest,3683.9792899999998,6387.065455,3683.9792899999998,6387.065455,10071.044745000001,63.42008815094387,63.42008815094387,1.1392771080892319,0.620984091894041,3,7,3,7,10,70,70,1.0888999753452235,0.5800000000000001,0.29488391230979427,1.1549652252192415,5,1.1549652252192415,3.258096538021482,0,0,0,0,0,0,TALL
TALL_006 2017,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,4,0.08695652173913043,1.0397207708399179,0.625,3,0,0,4.3478260869565215,0,0,0,0,50,0,0,TALL_006,evergreenForest,3683.9792899999998,6387.065455,3683.9792899999998,6387.065455,10071.044745000001,63.42008815094387,63.42008815094387,1.1392771080892319,0.620984091894041,3,7,3,7,10,70,70,1.0888999753452235,0.5800000000000001,0.29488391230979427,0,0,0,0,1.6766901394432678,3.9318256327243257,0,0,0,0,TALL
TALL_006 2018,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8,0.21052631578947367,1.9061547465398496,0.84375,7,2.631578947368421,2.631578947368421,2.631578947368421,0,0,12.5,12.5,12.5,0,0,TALL_006,evergreenForest,3683.9792899999998,6387.065455,3683.9792899999998,6387.065455,10071.044745000001,63.42008815094387,63.42008815094387,1.1392771080892319,0.620984091894041,3,7,3,7,10,70,70,1.0888999753452235,0.5800000000000001,0.45883146774112354,1.2896675254308188,3.5355339059327378,1.2896675254308188,2.6026896854443837,1.2896675254308188,2.6026896854443837,0,0,0,0,TALL
TALL_006 2019,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,42,9,0.21428571428571427,1.4648163848908131,0.7407407407407407,5,7.142857142857142,0,7.142857142857142,0,0,33.33333333333333,0,33.33333333333333,0,0,TALL_006,evergreenForest,3683.9792899999998,6387.065455,3683.9792899999998,6387.065455,10071.044745000001,63.42008815094387,63.42008815094387,1.1392771080892319,0.620984091894041,3,7,3,7,10,70,70,1.0888999753452235,0.5800000000000001,0.4629100498862757,2.097141118779237,5.773502691896257,0,0,2.097141118779237,3.536116699561526,0,0,0,0,TALL
TALL_007 2016,0,0,0,0,0,0,7,8,0,1,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,48,33,0.6875,1.7124791104563062,0.7970615243342516,7,14.583333333333334,18.75,16.666666666666664,0,2.083333333333333,21.21212121212121,27.27272727272727,24.242424242424242,0,3.0303030303030303,TALL_007,deciduousForest,9545.073945,1917.6175849999997,5611.612000000001,4307.077165,11462.691530000002,16.72920866780055,37.57474545771013,1.759571889384054,0.8089284607810188,18,9,9,14,27,33.33333333333333,51.85185185185185,1.9091314318694759,0.8340192043895748,0.82915619758885,2.7462019670665865,4.605661864718383,2.9831534913471307,3.3418976393808637,2.871679624884012,3.2285260807003624,0,0,1.126011262856224,1.3938415667552735,TALL
TALL_007 2017,0,0,0,0,0,0,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,46,19,0.41304347826086957,1.1165107682127633,0.5096952908587258,6,28.26086956521739,0,0,0,2.1739130434782608,68.42105263157895,0,0,0,5.263157894736842,TALL_007,deciduousForest,9545.073945,1917.6175849999997,5611.612000000001,4307.077165,11462.691530000002,16.72920866780055,37.57474545771013,1.759571889384054,0.8089284607810188,18,9,9,14,27,33.33333333333333,51.85185185185185,1.9091314318694759,0.8340192043895748,0.6426845869171515,3.376251113715578,8.27170191868511,0,0,0,0,0,0,1.1549652252192415,1.834684513945089,TALL
TALL_007 2018,0,0,0,0,0,0,17,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,24,0.6153846153846154,1.0556698482148017,0.4791666666666665,6,43.58974358974359,0,5.128205128205128,0,0,70.83333333333334,0,8.333333333333332,0,0,TALL_007,deciduousForest,9545.073945,1917.6175849999997,5611.612000000001,4307.077165,11462.691530000002,16.72920866780055,37.57474545771013,1.759571889384054,0.8089284607810188,18,9,9,14,27,33.33333333333333,51.85185185185185,1.9091314318694759,0.8340192043895748,0.7844645405527362,3.7975038682246365,8.416254115301733,0,0,1.812901905801864,2.2335922215070942,0,0,0,0,TALL
TALL_007 2019,0,0,0,0,0,0,16,2,2,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42,29,0.6904761904761905,1.4644959044607229,0.6516052318668253,8,38.095238095238095,11.904761904761903,4.761904761904762,0,2.380952380952381,55.172413793103445,17.24137931034483,6.896551724137931,0,3.4482758620689653,TALL_007,deciduousForest,9545.073945,1917.6175849999997,5611.612000000001,4307.077165,11462.691530000002,16.72920866780055,37.57474545771013,1.759571889384054,0.8089284607810188,18,9,9,14,27,33.33333333333333,51.85185185185185,1.9091314318694759,0.8340192043895748,0.8309489698388166,3.6660006717290052,7.427813527082074,2.5575963831562776,2.9036926018718257,1.751268107873318,2.0664261735677654,0,0,1.2181574393178924,1.492516574375198,TALL
TALL_008 2016,0,0,0,0,0,0,4,1,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,0.25,1.6326309271543518,0.7777777777777778,6,8.333333333333332,6.25,2.083333333333333,0,0,33.33333333333333,25,8.333333333333332,0,0,TALL_008,deciduousForest,8385.314615000001,0,257.997475,7644.627390000001,8385.314615000001,0,91.16685230062771,1.3364806172904697,0.7065631110912187,9,0,2,5,9,0,55.55555555555556,1.5810937501718234,0.7901234567901234,0.5,2.2335922215070942,5.773502691896257,1.9810014688665833,3.258096538021482,1.126011262856224,2.2335922215070942,0,0,0,0,TALL
TALL_008 2017,0,0,1,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7,0.1346153846153846,1.277034259466139,0.6938775510204082,4,3.8461538461538463,5.769230769230769,0,0,0,28.57142857142857,42.857142857142854,0,0,0,TALL_008,deciduousForest,8385.314615000001,0,257.997475,7644.627390000001,8385.314615000001,0,91.16685230062771,1.3364806172904697,0.7065631110912187,9,0,2,5,9,0,55.55555555555556,1.5810937501718234,0.7901234567901234,0.3668996928526714,1.578185368929996,5.3452248382484875,1.9123874570166697,3.780937598531884,0,0,0,0,0,0,TALL
TALL_008 2018,0,0,0,2,0,0,14,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,23,0.6388888888888888,1.348290489930311,0.601134215500945,7,38.88888888888889,5.555555555555555,0,0,0,60.86956521739131,8.695652173913043,0,0,0,TALL_008,deciduousForest,8385.314615000001,0,257.997475,7644.627390000001,8385.314615000001,0,91.16685230062771,1.3364806172904697,0.7065631110912187,9,0,2,5,9,0,55.55555555555556,1.5810937501718234,0.7901234567901234,0.7993052538854533,3.6860978111520595,7.80189497605494,1.8803128665695001,2.271677555530969,0,0,0,0,0,0,TALL
TALL_008 2019,0,0,0,1,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,41,15,0.36585365853658536,1.71408754118701,0.7733333333333333,7,14.634146341463413,0,0,0,0,40,0,0,0,0,TALL_008,deciduousForest,8385.314615000001,0,257.997475,7644.627390000001,8385.314615000001,0,91.16685230062771,1.3364806172904697,0.7065631110912187,9,0,2,5,9,0,55.55555555555556,1.5810937501718234,0.7901234567901234,0.6048583789091339,2.7494573902163624,6.324555320336759,0,0,0,0,0,0,0,0,TALL
TALL_009 2016,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,4,0,12,0,47,35,0.7446808510638298,1.8118036627456453,0.8,8,12.76595744680851,4.25531914893617,0,8.51063829787234,25.53191489361702,17.142857142857142,5.714285714285714,0,11.428571428571429,34.285714285714285,TALL_009,evergreenForest,1643.368115,1346.92827,181.48192,2808.8144649999995,2990.2963849999996,45.04330329115521,93.93097216348339,1.2985335902432187,0.6828513640797178,9,4,1,12,13,30.76923076923077,92.3076923076923,1.4127446368638479,0.7218934911242603,0.8629489272626913,2.622198692790842,4.140393356054125,1.6592407349179186,1.9042374526547452,0,0,2.2524109929035103,2.5199979695992702,3.2783483439699777,3.563478187572664,TALL
TALL_009 2017,0,1,0,0,0,2,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,2,0,9,0,0,6,4.5,15.5,3,1,52,51,0.9807692307692307,2.1398540699703683,0.8402537485582469,13,0,1.9230769230769231,1.9230769230769231,8.653846153846153,5.769230769230769,0,1.9607843137254901,1.9607843137254901,8.823529411764707,5.88235294117647,TALL_009,evergreenForest,1643.368115,1346.92827,181.48192,2808.8144649999995,2990.2963849999996,45.04330329115521,93.93097216348339,1.2985335902432187,0.6828513640797178,9,4,1,12,13,30.76923076923077,92.3076923076923,1.4127446368638479,0.7218934911242603,0.9903379376602871,0,0,1.0726368022648491,1.0854542040905986,1.0726368022648491,1.0854542040905986,2.267356401110302,2.2847804683605393,1.9123874570166697,1.92896059074154,TALL
TALL_009 2018,0,0,0,2,0,1,0,1,0,0,0,0,0,0,9,1,0,1,0,0,1,0,0,0,0,4,2,0,0,5,1,1,0,37,29,0.7837837837837838,2.121089729127308,0.8370986920332937,12,0,0,2.7027027027027026,13.513513513513514,2.7027027027027026,0,0,3.4482758620689653,17.24137931034483,3.4482758620689653,TALL_009,evergreenForest,1643.368115,1346.92827,181.48192,2808.8144649999995,2990.2963849999996,45.04330329115521,93.93097216348339,1.2985335902432187,0.6828513640797178,9,4,1,12,13,30.76923076923077,92.3076923076923,1.4127446368638479,0.7218934911242603,0.8853156407653622,0,0,0,0,1.3090630131839005,1.492516574375198,2.67508018186464,2.9036926018718257,1.3090630131839005,1.492516574375198,TALL
TALL_009 2019,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,3,0,2,12,0,0,0,41,27,0.6585365853658537,1.7613004648865633,0.7517146776406036,9,2.4390243902439024,0,0,29.268292682926827,0,3.7037037037037033,0,0,44.44444444444444,0,TALL_009,evergreenForest,1643.368115,1346.92827,181.48192,2808.8144649999995,2990.2963849999996,45.04330329115521,93.93097216348339,1.2985335902432187,0.6828513640797178,9,4,1,12,13,30.76923076923077,92.3076923076923,1.4127446368638479,0.7218934911242603,0.8115026712006891,1.2351878236738605,1.9245008972987525,0,0,0,0,3.410100718500299,3.816490578706582,0,0,TALL
TALL_013 2016,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,8,0.16666666666666666,1.2130075659799042,0.65625,4,8.333333333333332,0,4.166666666666666,0,0,50,0,25,0,0,TALL_013,evergreenForest,0,7891.588589999999,0,7891.588589999999,7891.588589999999,100,100,0,0,0,7,0,7,7,100,100,0,0,0.408248290463863,2.2335922215070942,7.0710678118654755,0,0,1.642227735257091,3.258096538021482,0,0,0,0,TALL
TALL_013 2017,0,0,0,0,0,0,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,11,0.21153846153846154,1.4205719259467045,0.6611570247933886,6,11.538461538461538,0,1.9230769230769231,1.9230769230769231,0,54.54545454545454,0,9.090909090909092,9.090909090909092,0,TALL_013,evergreenForest,0,7891.588589999999,0,7891.588589999999,7891.588589999999,100,100,0,0,0,7,0,7,7,100,100,0,0,0.45993310550389993,2.5288008433452256,7.385489458759964,0,0,1.0726368022648491,2.3116349285139637,1.0726368022648491,2.3116349285139637,0,0,TALL
TALL_013 2018,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0.20512820512820512,1.0735428464085233,0.5625,4,2.564102564102564,0,12.82051282051282,0,0,12.5,0,62.5,0,0,TALL_013,evergreenForest,0,7891.588589999999,0,7891.588589999999,7891.588589999999,100,100,0,0,0,7,0,7,7,100,100,0,0,0.4529108136578383,1.2709122870010452,3.5355339059327378,0,0,2.626153924779351,4.151039905898646,0,0,0,0,TALL
TALL_013 2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0.10256410256410256,1.0397207708399179,0.625,3,5.128205128205128,0,0,0,0,50,0,0,0,0,TALL_013,evergreenForest,0,7891.588589999999,0,7891.588589999999,7891.588589999999,100,100,0,0,0,7,0,7,7,100,100,0,0,0.32025630761017426,1.812901905801864,7.0710678118654755,0,0,0,0,0,0,0,0,TALL
