individualID,taxonID,scientificName
NEON.BET.D01.000671,CARGOR,Carabus goryi
NEON.BET.D01.000473,SPHCAN,Sphaeroderus canadensis
NEON.BET.D01.000653,CARGOR,Carabus goryi
NEON.BET.D01.001076,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000999,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000520,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000863,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001010,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001009,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.001345,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000663,CARGOR,Carabus goryi
NEON.BET.D01.000529,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000658,CARGOR,Carabus goryi
NEON.BET.D01.000668,CARGOR,Carabus goryi
NEON.BET.D01.000711,CARGOR,Carabus goryi
NEON.BET.D01.000665,CARGOR,Carabus goryi
NEON.BET.D01.001066,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000661,CARGOR,Carabus goryi
NEON.BET.D01.000942,PLADEC,Platynus decentis
NEON.BET.D01.000666,CARGOR,Carabus goryi
NEON.BET.D01.001203,CYMPLA2,Cymindis platicollis
NEON.BET.D01.000648,CARGOR,Carabus goryi
NEON.BET.D01.000991,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000675,CARGOR,Carabus goryi
NEON.BET.D01.000660,CARGOR,Carabus goryi
NEON.BET.D01.000523,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.001375,CARGOR,Carabus goryi
NEON.BET.D01.000644,CARGOR,Carabus goryi
NEON.BET.D01.001031,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000664,CARGOR,Carabus goryi
NEON.BET.D01.000518,SPHSTE3,Sphaeroderus stenostomus
NEON.BET.D01.000651,CARGOR,Carabus goryi
NEON.BET.D01.000835,PTEMUT2,Pterostichus mutus
NEON.BET.D01.000635,CARGOR,Carabus goryi
NEON.BET.D01.000662,CARGOR,Carabus goryi
NEON.BET.D01.000629,CARGOR,Carabus goryi
NEON.BET.D01.001038,PTEPEN,Pterostichus pensylvanicus
NEON.BET.D01.000652,CARGOR,Carabus goryi
NEON.BET.D01.001281,TRIAUT,Trichotichnus autumnalis
NEON.BET.D01.000672,CARGOR,Carabus goryi
NEON.BET.D01.000657,CARGOR,Carabus goryi
NEON.BET.D01.000636,CARGOR,Carabus goryi
