individualID,taxonID,scientificName
NEON.BET.D08.000655,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000656,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000652,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000654,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000653,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000667,DICDIL5,Dicaelus dilatatus
NEON.BET.D08.000664,DICAMB,Dicaelus ambiguus
NEON.BET.D08.000668,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000663,DICDIL5,Dicaelus dilatatus
NEON.BET.D08.000666,DICAMB,Dicaelus ambiguus
NEON.BET.D08.000665,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000671,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000670,PASDEP,Pasimachus depressus
NEON.BET.D08.000672,PASDEP,Pasimachus depressus
NEON.BET.D08.000674,SELELL,Selenophorus ellipticus
NEON.BET.D08.000675,CYCFRE,Cyclotrachelus freitagi
NEON.BET.D08.000673,DICDIL5,Dicaelus dilatatus
NEON.BET.D08.000684,DICDIL5,Dicaelus dilatatus
NEON.BET.D08.000686,CARSYL,Carabus sylvosus
NEON.BET.D08.000687,SELOPA,Selenophorus opalinus
NEON.BET.D08.000680,DICPOL,Dicaelus politus
NEON.BET.D08.000676,PASDEP,Pasimachus depressus
NEON.BET.D08.000677,DICDIL5,Dicaelus dilatatus
NEON.BET.D08.000698,SELGRA,Selenophorus granarius
NEON.BET.D08.000678,DICPOL,Dicaelus politus
NEON.BET.D08.000697,PTESP23,Pterostichus sp.
NEON.BET.D08.000679,DICPOL,Dicaelus politus
NEON.BET.D08.000685,CARSYL,Carabus sylvosus
NEON.BET.D08.000691,PASDEP,Pasimachus depressus
NEON.BET.D08.000721,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000695,PASDEP,Pasimachus depressus
NEON.BET.D08.000716,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000696,PASDEP,Pasimachus depressus
NEON.BET.D08.000692,SELOPA,Selenophorus opalinus
NEON.BET.D08.000717,CYCCON2,Cyclotrachelus convivus
NEON.BET.D08.000720,DICDIL5,Dicaelus dilatatus
NEON.BET.D08.000693,DICDIL5,Dicaelus dilatatus
NEON.BET.D08.000738,LOXCRE,Loxandrus crenatus
NEON.BET.D08.000732,CYLUNI,Cylindera unipunctata
