scientificName,taxonID,Food,HARV,TALL,BART,JERC,total
Acupalpus hydropicus,ACUHYD,NA,2,0,0,0,2
Agonum retractum,AGORET,Predator,14,0,54,0,68
Amphasia interstitialis,AMPINT,NA,3,0,0,0,3
Anisodactylus rusticus,ANIRUS,NA,1,1,0,1,3
Calosoma frigidum,CALFRI,NA,1,0,0,0,1
Chlaenius emarginatus,CHLEMA,Omnivore,49,1,1,1,52
Cicindela sexguttata,CICSEX,NA,1,0,0,0,1
Cymindis neglecta,CYMNEG,Omnivore,8,0,663,0,671
Gastrellarius honestus,GASHON,NA,1,0,7,0,8
Harpalus rubripes,HARRUB,NA,1,0,0,0,1
Olisthopus parmatus,OLIPAR,NA,3,0,0,0,3
Poecilus lucublandus,POELUC,NA,1,0,0,0,1
Syntomus americanus,SYNAME,Predator,9,0,0,0,9
Apenes lucidula,APELUC2,NA,10,0,0,0,10
Carabus goryi,CARGOR,Predator,847,0,0,0,847
Carabus serratus,CARSER,Omnivore,79,0,0,0,79
Cymindis cribricollis,CYMCRI,Omnivore,15,0,347,0,362
Cymindis limbata,CYMLIM,NA,5,0,8,0,13
Cymindis platicollis,CYMPLA2,Predator,19,0,2,0,21
Dicaelus politus,DICPOL,Predator,13,13,1,0,27
Myas cyanescens,MYACYA,Predator,14,0,10,0,24
Notiophilus aeneus,NOTAEN,Predator,77,0,12,0,89
Platynus decentis,PLADEC,Predator,19,0,1,0,20
Pterostichus adoxus,PTEADO,Predator,18,0,99,0,117
Pterostichus coracinus,PTECOR1,Predator,7,0,644,0,651
Pterostichus mutus,PTEMUT2,Predator,29,0,1,0,30
Pterostichus pensylvanicus,PTEPEN,Predator,227,0,1078,0,1305
Pterostichus rostratus,PTEROS,Predator,137,0,420,0,557
Pterostichus tristis,PTETRI3,Predator,241,0,1051,0,1292
Sphaeroderus canadensis,SPHCAN,Predator,176,0,231,0,407
Sphaeroderus stenostomus,SPHSTE3,Predator,450,0,113,0,563
Synuchus impunctatus,SYNIMP,Omnivore,1298,0,3842,0,5140
Trichotichnus autumnalis,TRIAUT,NA,30,0,0,0,30
Agonoleptus conjunctus,AGOCON,Predator,0,1,0,5,6
Apenes sinuata,APESIN,NA,0,1,0,2,3
Carabus sylvosus,CARSYL,Predator,0,9,0,0,9
Clinidium baldufi,CLIBAL,NA,0,6,0,0,6
Cyclotrachelus convivus,CYCCON2,Predator,0,166,0,0,166
Cyclotrachelus freitagi,CYCFRE,Predator,0,29,0,0,29
Cylindera unipunctata,CYLUNI,Predator,0,10,0,0,10
Dicaelus ambiguus,DICAMB,Predator,0,10,0,0,10
Dicaelus dilatatus,DICDIL5,Predator,0,40,0,1,41
Dicaelus elongatus,DICELO,NA,0,2,0,1,3
Dicaelus furvus carinatus,DICFUR1,Predator,0,9,0,3,12
Elaphropus granarius,ELAGRA,Predator,0,18,0,0,18
Harpalus pensylvanicus,HARPEN,NA,0,1,0,0,1
Helluomorphoides nigripennis,HELNIG,NA,0,3,0,8,11
Loxandrus crenatus,LOXCRE,NA,0,4,0,0,4
Notiophilus novemstriatus,NOTNOV,NA,0,2,0,0,2
