plotID,plotIDyear,nlcdClass,density,ShannonBeetle,SimpsonBeetle,BeetleCount,cupNum,year.x,siteID,DF_BA,EGBA,AM_BA,ECM_BA,totalBA,PerEG_BA,PerECM_BA,Shan_BA,Sim_BA,DF_ST,EF_ST,AM_ST,ECM_ST,totalStems,PerEG_ST,PerECM_ST,Shan_ST,Sim_ST,PerAM_BA,PerAM_ST
HARV_006,HARV_006 2014,deciduousForest,1.75,1.564266013,0.692365835,63,36,2014,HARV,9120.1263,193.57862,1016.84546,8296.85946,9313.70492,2.078427668,89.08226674,0.78120727,0.402990849,22,2,8,16,24,8.333333333,66.66666667,1.190782515,0.65625,10.91773326,33.33333333
HARV_004,HARV_004 2014,mixedForest,1.9375,1.3412782,0.630593132,62,32,2014,HARV,5535.677715,0,3719.460325,1816.21739,5535.677715,0,32.80930508,1.132532886,0.603546081,7,0,5,2,7,0,28.57142857,1.277034259,0.693877551,67.19069492,71.42857143
HARV_005,HARV_005 2014,deciduousForest,2.3,1.76477155,0.787649653,69,30,2014,HARV,7725.65957,1080.777305,2330.4214,6476.015475,8806.436875,12.27258334,73.53729513,0.909435058,0.539574404,16,5,12,9,21,23.80952381,42.85714286,0.977320209,0.580498866,26.46270487,57.14285714
HARV_014,HARV_014 2014,mixedForest,2.896551724,1.733973529,0.804705215,84,29,2014,HARV,8854.210985,9040.500165,971.20791,16923.50324,17894.71115,50.52051463,94.57265389,1.169471871,0.644748939,13,9,4,18,22,40.90909091,81.81818182,1.322289469,0.714876033,5.427346113,18.18181818
HARV_010,HARV_010 2014,mixedForest,1.861111111,1.813652128,0.792604143,67,36,2014,HARV,5198.682505,4318.01918,609.59513,8907.106555,9516.701685,45.37306435,93.59447054,1.10288102,0.61930452,5,8,3,10,13,61.53846154,76.92307692,1.156987644,0.627218935,6.405529459,23.07692308
HARV_001,HARV_001 2014,deciduousForest,1.125,1.546565317,0.754458162,27,24,2014,HARV,7306.728855,2468.73224,691.279275,9084.18182,9775.461095,25.25438152,92.92842283,0.971497673,0.533200395,10,5,4,11,15,33.33333333,73.33333333,1.33979428,0.728888889,7.071577169,26.66666667
HARV_022,HARV_022 2014,evergreenForest,0.625,1.983069163,0.835,20,32,2014,HARV,1968.706505,21114.52278,0,23083.22929,23083.22929,91.47126912,100,0.429851524,0.17943998,8,19,0,27,27,70.37037037,100,1.060856947,0.521262003,0,0
HARV_002,HARV_002 2014,deciduousForest,1.722222222,1.900452124,0.816337149,62,36,2014,HARV,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755,93.1228631,1.056777858,0.536488716,12,1,5,8,13,7.692307692,61.53846154,1.412744637,0.721893491,6.877136896,38.46153846
HARV_013,HARV_013 2014,evergreenForest,0.85,1.401276649,0.726643599,17,20,2014,HARV,3550.593535,18931.86179,1459.152655,21023.30267,22482.45532,84.20726969,93.50981628,0.543166173,0.278047587,2,10,1,11,12,83.33333333,91.66666667,0.566085739,0.291666667,6.49018372,8.333333333
HARV_021,HARV_021 2014,evergreenForest,0.571428571,0.950748927,0.4921875,16,28,2014,HARV,2801.06158,4545.45285,2644.896325,4701.618105,7346.51443,61.87223742,63.99794283,0.746704977,0.487115949,7,4,6,5,11,36.36363636,45.45454545,0.916464886,0.561983471,36.00205717,54.54545455
HARV_006,HARV_006 2015,deciduousForest,1.888888889,2.098051151,0.819204152,68,36,2015,HARV,9120.1263,193.57862,1016.84546,8296.85946,9313.70492,2.078427668,89.08226674,0.78120727,0.402990849,22,2,8,16,24,8.333333333,66.66666667,1.190782515,0.65625,10.91773326,33.33333333
HARV_013,HARV_013 2015,evergreenForest,0.642857143,1.878967493,0.814814815,18,28,2015,HARV,3550.593535,18931.86179,1459.152655,21023.30267,22482.45532,84.20726969,93.50981628,0.543166173,0.278047587,2,10,1,11,12,83.33333333,91.66666667,0.566085739,0.291666667,6.49018372,8.333333333
HARV_021,HARV_021 2015,evergreenForest,0.580645161,1.611157817,0.777777778,18,31,2015,HARV,2801.06158,4545.45285,2644.896325,4701.618105,7346.51443,61.87223742,63.99794283,0.746704977,0.487115949,7,4,6,5,11,36.36363636,45.45454545,0.916464886,0.561983471,36.00205717,54.54545455
HARV_010,HARV_010 2015,mixedForest,0.571428571,1.765057252,0.805,20,35,2015,HARV,5198.682505,4318.01918,609.59513,8907.106555,9516.701685,45.37306435,93.59447054,1.10288102,0.61930452,5,8,3,10,13,61.53846154,76.92307692,1.156987644,0.627218935,6.405529459,23.07692308
HARV_004,HARV_004 2015,mixedForest,1.083333333,1.983491515,0.825772518,39,36,2015,HARV,5535.677715,0,3719.460325,1816.21739,5535.677715,0,32.80930508,1.132532886,0.603546081,7,0,5,2,7,0,28.57142857,1.277034259,0.693877551,67.19069492,71.42857143
HARV_022,HARV_022 2015,evergreenForest,0.935483871,1.97529302,0.85136742,29,31,2015,HARV,1968.706505,21114.52278,0,23083.22929,23083.22929,91.47126912,100,0.429851524,0.17943998,8,19,0,27,27,70.37037037,100,1.060856947,0.521262003,0,0
HARV_005,HARV_005 2015,deciduousForest,1.171428571,2.035943729,0.811421773,41,35,2015,HARV,7725.65957,1080.777305,2330.4214,6476.015475,8806.436875,12.27258334,73.53729513,0.909435058,0.539574404,16,5,12,9,21,23.80952381,42.85714286,0.977320209,0.580498866,26.46270487,57.14285714
HARV_002,HARV_002 2015,deciduousForest,0.75,1.963039426,0.834019204,27,36,2015,HARV,7628.956665,292.590895,544.77567,7376.77189,7921.54756,3.693607755,93.1228631,1.056777858,0.536488716,12,1,5,8,13,7.692307692,61.53846154,1.412744637,0.721893491,6.877136896,38.46153846
HARV_014,HARV_014 2015,mixedForest,0.928571429,1.979128861,0.852071006,26,28,2015,HARV,8854.210985,9040.500165,971.20791,16923.50324,17894.71115,50.52051463,94.57265389,1.169471871,0.644748939,13,9,4,18,22,40.90909091,81.81818182,1.322289469,0.714876033,5.427346113,18.18181818
HARV_001,HARV_001 2015,deciduousForest,0.458333333,1.546598686,0.776859504,11,24,2015,HARV,7306.728855,2468.73224,691.279275,9084.18182,9775.461095,25.25438152,92.92842283,0.971497673,0.533200395,10,5,4,11,15,33.33333333,73.33333333,1.33979428,0.728888889,7.071577169,26.66666667
